id,source,district,price,size_sqm,bedrooms,property_type,latitude,longitude,first_seen,last_seen,transaction_type,rent_frequency,bathrooms,furnishing,building_name,community,subcommunity,developer,floor,total_floors,parking_spaces,completion_status,year_built,service_charge_aed,amenities,listing_url,agent_name,agency_name,photos_count,title,description_short,verified_flag,scraped_at,price_per_sqm,days_on_market,missing_size_flag,raw_usage,raw_property_type,raw_property_subtype,annual_amount_aed,contract_amount_aed,start_date,end_date
DubaiPulse_DLD_sale_1-11-2022-20211,DubaiPulse_DLD,Marina,550000.0,45.43,0,Apartment,,,2022-08-23,2022-08-23,sale,,,,LAKE TERRACE,Al Thanyah Fifth,,,,,0.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.968994+00:00,12106.537530266343,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2015-14807,DubaiPulse_DLD,Marina,1035000.0,69.14,0,Apartment,,,2015-10-01,2015-10-01,sale,,,,LAKE TERRACE,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.969157+00:00,14969.626844084467,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2012-6990,DubaiPulse_DLD,Marina,468720.0,68.48,0,Apartment,,,2012-04-25,2012-04-25,sale,,,,LAKE TERRACE,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.969249+00:00,6844.626168224298,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2011-12112,DubaiPulse_DLD,Marina,308880.0,46.07,0,Apartment,,,2011-08-03,2011-08-03,sale,,,,LAKE TERRACE,Al Thanyah Fifth,,,,,0.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.969342+00:00,6704.5799869763405,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2009-207864,DubaiPulse_DLD,Marina,341280.0,52.95,0,Apartment,,,2009-04-14,2009-04-14,sale,,,,LAKE TERRACE,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.969436+00:00,6445.325779036827,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2017-8944,DubaiPulse_DLD,Marina,1105000.0,69.41,0,Apartment,,,2017-07-10,2017-07-10,sale,,,,LAKE TERRACE,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.969528+00:00,15919.8962685492,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2025-30415,DubaiPulse_DLD,Marina,1650000.0,114.88,0,Apartment,,,2025-07-21,2025-07-21,sale,,,,LAKE TERRACE,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.969631+00:00,14362.813370473537,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2013-737,DubaiPulse_DLD,Marina,720000.0,70.24,0,Apartment,,,2013-01-09,2013-01-09,sale,,,,LAKE TERRACE,Al Thanyah Fifth,,,,,0.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.969724+00:00,10250.569476082006,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2013-22487,DubaiPulse_DLD,Marina,1200000.0,115.16,0,Apartment,,,2013-07-22,2013-07-22,sale,,,,LAKE TERRACE,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.969815+00:00,10420.284821118445,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2012-8554,DubaiPulse_DLD,Marina,605000.0,66.78,0,Apartment,,,2012-05-10,2012-05-10,sale,,,,LAKE TERRACE,Al Thanyah Fifth,,,,,0.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.969907+00:00,9059.598682240192,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2012-360,DubaiPulse_DLD,Marina,299160.0,45.43,0,Apartment,,,2012-01-11,2012-01-11,sale,,,,LAKE TERRACE,Al Thanyah Fifth,,,,,0.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.969999+00:00,6585.075941008145,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-41-2016-5641,DubaiPulse_DLD,Marina,701000.0,115.35,0,Apartment,,,2016-11-14,2016-11-14,sale,,,,LAKE TERRACE,Al Thanyah Fifth,,,,,0.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.970092+00:00,6077.156480277416,,False,Residential,Unit,Flat,,,,
